date,continent,retail_recreation,grocery_pharmacy,parks,transit_stations,workplaces,residential
15/04/2020,AM_S,-67.5,-31.0,-59.5,-65.0,-48.0,22.0
15/04/2020,AS,-34.0,-16.0,-24.0,-46.0,-31.0,14.0
15/04/2020,EU,-63.0,-23.0,-17.0,-57.0,-51.0,20.0
15/04/2020,OC,-86.0,-32.0,-70.5,-70.5,-61.0,23.0
16/02/2020,AF,0.0,-1.0,0.0,0.0,4.0,0.0
16/02/2020,AM_N,7.0,2.0,17.0,3.0,0.0,-1.0
16/02/2020,AM_S,0.0,2.0,-3.0,1.0,0.0,1.0
16/02/2020,AS,-3.0,-1.0,-7.0,-5.0,1.5,2.0
16/02/2020,EU,4.0,1.0,2.5,4.0,0.0,0.0
16/02/2020,OC,2.0,3.5,-7.0,3.0,0.0,1.0
16/03/2020,AF,-6.0,0.0,-6.0,-7.0,1.0,2.0
16/03/2020,AM_N,-1.0,24.0,5.0,-3.0,-12.0,5.0
16/03/2020,AM_S,-17.0,6.0,-24.0,-14.0,-1.0,7.0
16/03/2020,AS,-6.0,1.0,-8.0,-15.0,-3.0,4.0
16/03/2020,EU,-22.5,3.0,2.0,-28.0,-27.0,9.0
16/03/2020,OC,-5.0,8.0,-16.0,-4.5,18.5,0.0
16/04/2020,AF,-51.0,-37.0,-28.0,-49.0,-33.0,25.0
16/04/2020,AM_N,-49.0,-23.0,-24.5,-67.0,-60.0,22.0
16/04/2020,AM_S,-67.0,-31.0,-60.0,-65.0,-48.0,23.0
16/04/2020,AS,-33.0,-16.0,-23.0,-48.0,-30.0,14.0
16/04/2020,EU,-63.0,-23.0,-14.0,-57.0,-51.0,20.0
16/04/2020,OC,-87.0,-32.0,-70.5,-70.0,-59.0,23.0
17/02/2020,AF,-1.0,-1.0,-1.0,1.0,5.0,0.0
17/02/2020,AM_N,4.0,0.0,24.0,1.0,-17.0,4.0
17/02/2020,AM_S,-1.0,1.0,-3.0,2.0,10.0,0.0
17/02/2020,AS,-2.0,0.0,-3.0,-1.0,2.5,1.0
17/02/2020,EU,4.0,2.0,15.0,2.0,0.0,1.0
17/02/2020,OC,-1.5,0.0,-6.0,10.0,18.0,-2.0
17/03/2020,AF,-9.0,-3.0,-7.0,-10.0,-4.0,3.0
17/03/2020,AM_N,-11.0,17.0,13.0,-4.0,-17.0,8.0
17/03/2020,AM_S,-27.0,-1.0,-29.5,-24.0,-7.0,8.0
17/03/2020,AS,-6.0,2.0,-3.5,-15.0,-5.0,4.0
17/03/2020,EU,-33.0,-9.5,-1.0,-38.0,-34.0,12.0
17/03/2020,OC,-5.5,12.0,-21.5,-9.5,14.0,1.0
17/04/2020,AF,-55.0,-38.0,-31.0,-51.0,-30.0,23.0
17/04/2020,AM_N,-53.0,-24.0,-37.0,-67.0,-59.0,24.0
17/04/2020,AM_S,-67.5,-31.0,-62.0,-66.0,-46.0,25.0
17/04/2020,AS,-37.0,-19.0,-26.0,-51.0,-26.0,14.0
17/04/2020,EU,-65.5,-25.0,-25.0,-60.0,-56.0,24.0
17/04/2020,OC,-87.5,-34.0,-76.0,-72.0,-58.5,24.0
18/02/2020,AF,-1.0,-1.5,-1.0,1.0,3.0,0.0
18/02/2020,AM_N,0.0,-1.0,4.0,2.0,1.0,0.0
18/02/2020,AM_S,-1.0,0.0,-2.0,2.0,10.0,-1.0
18/02/2020,AS,-2.0,0.0,-2.5,-2.0,2.0,1.0
18/02/2020,EU,5.0,1.0,16.0,2.0,0.0,1.0
18/02/2020,OC,-2.0,-0.5,-8.0,7.5,14.5,-1.0
18/03/2020,AF,-9.0,-3.0,-8.0,-10.0,-4.0,4.0
18/03/2020,AM_N,-18.0,12.0,12.0,-7.0,-21.0,10.0
18/03/2020,AM_S,-34.0,-3.5,-37.0,-31.0,-14.0,11.0
18/03/2020,AS,-8.5,1.0,-5.0,-14.0,-7.0,5.0
18/03/2020,EU,-39.0,-11.0,-2.0,-41.0,-37.0,13.0
18/03/2020,OC,-7.5,12.5,-17.0,-12.0,11.5,2.5
19/02/2020,AF,-4.0,-4.0,-2.5,-1.0,3.0,0.0
19/02/2020,AM_N,2.0,0.0,7.0,2.0,1.0,0.0
19/02/2020,AM_S,-1.0,-1.0,-1.0,2.0,10.0,-1.0
19/02/2020,AS,-1.0,0.0,3.0,-1.0,2.0,1.0
19/02/2020,EU,3.0,0.0,11.0,1.0,0.0,0.0
19/02/2020,OC,-1.0,0.0,-2.0,8.5,15.0,-1.0
19/03/2020,AF,-11.0,-3.0,-9.0,-13.0,-10.0,6.0
19/03/2020,AM_N,-22.0,12.0,4.0,-11.0,-23.0,11.0
19/03/2020,AM_S,-42.0,-9.0,-41.5,-37.0,-21.0,12.0
19/03/2020,AS,-12.0,-0.5,-8.5,-14.0,-8.0,6.0
19/03/2020,EU,-44.0,-13.0,-0.5,-44.0,-39.0,15.0
19/03/2020,OC,-10.0,20.0,-25.0,-14.0,12.5,3.0
20/02/2020,AF,-2.0,-2.0,-2.5,-1.0,2.0,0.0
20/02/2020,AM_N,1.0,0.0,-1.0,2.0,1.0,0.0
20/02/2020,AM_S,-1.0,-1.0,-1.0,3.0,7.0,-1.0
20/02/2020,AS,0.0,2.0,2.5,0.0,1.5,0.5
20/02/2020,EU,3.0,0.0,8.0,1.0,-1.0,1.0
20/02/2020,OC,1.0,1.0,-1.5,9.5,17.0,-2.0
20/03/2020,AF,-13.0,-4.0,-12.0,-15.0,-9.0,6.0
20/03/2020,AM_N,-27.0,9.0,0.5,-16.0,-25.0,14.0
20/03/2020,AM_S,-50.0,-18.0,-50.0,-47.0,-26.0,17.0
20/03/2020,AS,-14.0,-2.0,-13.0,-23.0,-21.0,13.0
20/03/2020,EU,-47.0,-14.0,-4.0,-48.0,-39.0,16.0
20/03/2020,OC,-12.5,9.0,-29.5,-18.5,11.5,5.0
21/02/2020,AF,-1.0,-1.0,1.5,1.0,3.0,1.0
21/02/2020,AM_N,2.0,-2.0,5.0,3.0,2.0,0.0
21/02/2020,AM_S,-1.0,1.0,-3.0,5.0,10.0,-1.0
21/02/2020,AS,-1.0,1.0,5.0,0.0,1.0,1.0
21/02/2020,EU,2.0,1.0,8.5,2.0,-1.0,1.0
21/02/2020,OC,3.5,2.0,-4.5,10.5,17.0,-2.0
21/03/2020,AF,-15.0,-9.0,-13.0,-19.0,-7.0,7.0
21/03/2020,AM_N,-34.0,4.0,1.0,-18.0,-18.0,10.0
21/03/2020,AM_S,-65.0,-32.0,-64.0,-57.0,-34.0,21.0
21/03/2020,AS,-19.0,-5.0,-17.0,-23.0,-8.0,7.0
21/03/2020,EU,-57.0,-20.0,-18.0,-49.0,-28.0,12.0
21/03/2020,OC,-17.0,6.5,-33.0,-28.5,-2.0,7.0
22/02/2020,AF,0.0,-1.0,0.0,-2.0,4.0,0.0
22/02/2020,AM_N,7.0,3.0,32.0,6.0,3.0,-1.0
22/02/2020,AM_S,-1.0,1.5,2.0,3.0,1.0,0.0
22/02/2020,AS,-2.0,1.0,-2.0,-1.0,1.5,1.0
22/02/2020,EU,0.0,0.0,4.0,5.0,0.0,0.0
22/02/2020,OC,5.5,5.0,-6.0,3.0,3.5,0.0
22/03/2020,AF,-21.0,-13.0,-18.0,-24.0,-8.0,9.0
22/03/2020,AM_N,-37.0,-7.0,-2.0,-24.0,-26.0,9.0
22/03/2020,AM_S,-74.0,-47.0,-72.0,-68.0,-38.0,21.5
22/03/2020,AS,-24.0,-10.0,-26.0,-27.0,-5.0,7.0
22/03/2020,EU,-62.0,-23.0,-23.0,-54.0,-31.0,10.0
22/03/2020,OC,-24.0,-4.0,-35.5,-33.0,-7.5,7.0
23/02/2020,AF,-2.0,-3.0,-3.0,-0.5,4.0,0.0
23/02/2020,AM_N,8.0,3.0,24.0,6.0,2.0,-1.0
23/02/2020,AM_S,0.0,1.0,2.0,-1.0,-1.0,1.0
23/02/2020,AS,0.0,1.0,3.0,1.0,3.0,1.0
23/02/2020,EU,3.0,2.0,4.5,7.0,0.0,0.0
23/02/2020,OC,3.5,3.5,-6.5,4.0,1.0,0.5
23/03/2020,AF,-20.0,-9.0,-16.0,-26.0,-17.0,9.0
23/03/2020,AM_N,-30.0,-3.0,-19.0,-21.0,-29.0,14.0
23/03/2020,AM_S,-67.0,-40.0,-62.0,-64.0,-50.0,22.0
23/03/2020,AS,-20.0,-5.5,-17.0,-25.5,-17.0,10.0
23/03/2020,EU,-54.0,-21.0,-26.5,-54.0,-45.0,18.0
23/03/2020,OC,-15.0,26.0,-38.0,-29.5,5.0,6.0
24/02/2020,AF,-4.5,-5.0,-4.0,-2.0,5.0,0.0
24/02/2020,AM_N,2.0,0.0,7.0,1.0,3.0,0.0
24/02/2020,AM_S,-5.0,-3.0,3.0,-2.0,-2.0,2.0
24/02/2020,AS,0.0,1.0,5.0,-1.0,3.0,2.0
24/02/2020,EU,0.0,1.0,7.0,1.0,0.0,1.0
24/02/2020,OC,-1.0,0.0,-5.0,10.0,19.5,-2.0
24/03/2020,AF,-23.0,-9.0,-18.0,-24.5,-20.0,10.0
24/03/2020,AM_N,-34.0,-8.0,-5.0,-20.0,-33.0,16.0
24/03/2020,AM_S,-68.0,-40.0,-61.0,-65.0,-49.0,22.0
24/03/2020,AS,-23.5,-6.0,-19.0,-28.0,-22.0,10.0
24/03/2020,EU,-66.0,-24.0,-25.0,-58.0,-51.0,21.0
24/03/2020,OC,-22.5,8.5,-45.5,-38.5,-19.0,12.0
25/02/2020,AF,-2.0,-2.5,-4.0,-2.0,4.0,0.0
25/02/2020,AM_N,5.0,1.0,6.0,2.0,2.0,0.0
25/02/2020,AM_S,-7.0,-7.0,1.0,-2.0,-2.0,1.0
25/02/2020,AS,-1.0,2.0,-1.0,-2.0,2.0,1.0
25/02/2020,EU,2.0,5.0,12.0,1.0,1.0,0.0
25/02/2020,OC,-2.0,-1.0,-1.0,9.5,16.0,-1.0
25/03/2020,AF,-26.5,-11.0,-20.0,-26.0,-25.0,11.5
25/03/2020,AM_N,-34.0,-8.0,-5.0,-22.0,-34.0,16.0
25/03/2020,AM_S,-71.0,-44.5,-64.0,-67.0,-53.5,24.0
25/03/2020,AS,-31.5,-13.0,-21.5,-31.5,-31.5,15.0
25/03/2020,EU,-69.0,-28.0,-27.0,-61.0,-54.0,22.0
25/03/2020,OC,-36.5,0.0,-43.5,-49.0,-34.0,16.0
26/02/2020,AF,-1.0,-2.0,-1.5,0.0,6.0,0.0
26/02/2020,AM_N,11.0,4.0,3.0,5.0,2.0,-1.0
26/02/2020,AM_S,-4.0,-2.5,-2.0,-1.0,5.0,0.0
26/02/2020,AS,-2.0,1.0,-1.0,-2.0,2.0,1.0
26/02/2020,EU,-1.0,1.0,6.0,-1.0,1.0,1.0
26/02/2020,OC,-1.0,2.0,-2.5,9.5,16.0,-1.0
26/03/2020,AF,-26.0,-14.0,-20.0,-30.0,-28.0,12.5
26/03/2020,AM_N,-34.0,-9.0,6.0,-23.0,-35.0,17.0
26/03/2020,AM_S,-69.0,-44.0,-63.0,-68.0,-53.0,25.0
26/03/2020,AS,-29.0,-12.0,-24.5,-33.0,-26.0,12.0
26/03/2020,EU,-70.0,-28.0,-24.0,-62.0,-54.0,23.0
26/03/2020,OC,-90.0,-56.0,-73.5,-64.5,-60.5,19.0
27/02/2020,AF,1.0,0.5,-0.5,1.5,5.0,0.0
27/02/2020,AM_N,10.0,3.0,6.0,6.0,2.0,-1.0
27/02/2020,AM_S,-2.0,0.0,-4.0,0.0,9.0,0.0
27/02/2020,AS,0.0,3.5,-1.0,-4.0,2.0,1.0
27/02/2020,EU,1.0,2.0,5.0,1.0,0.0,0.0
27/02/2020,OC,-0.5,1.0,-7.0,9.5,18.0,-1.0
27/03/2020,AF,-42.0,-29.0,-26.5,-44.0,-33.0,17.0
27/03/2020,AM_N,-36.0,-11.0,0.0,-29.0,-35.0,18.0
27/03/2020,AM_S,-69.0,-41.5,-64.0,-67.0,-50.0,27.0
27/03/2020,AS,-33.5,-15.0,-31.0,-35.0,-25.0,12.0
27/03/2020,EU,-70.0,-28.0,-27.0,-62.0,-53.0,24.0
27/03/2020,OC,-89.0,-45.0,-78.5,-70.0,-62.5,20.0
28/02/2020,AF,3.0,2.0,1.5,2.5,7.0,0.0
28/02/2020,AM_N,10.0,5.0,9.0,7.0,2.0,-1.0
28/02/2020,AM_S,1.0,3.0,-2.0,2.0,12.0,-1.0
